timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-04T01:48:08Z,23627,58.4,427.5,0,0
2026-09-04T01:48:18Z,23627,66.5,424.0,0,0
2026-09-04T01:48:28Z,23627,61.1,423.9,0,0
2026-09-04T01:48:38Z,23627,52.4,406.6,0,0
2026-09-04T01:48:48Z,23627,66.9,424.0,0,0
2026-09-04T01:48:58Z,23627,66.0,406.5,0,0
2026-09-04T01:49:08Z,23627,54.6,397.0,0,0
2026-09-04T01:49:18Z,23627,51.4,397.2,0,0
2026-09-04T01:49:28Z,23627,51.3,397.2,0,0
2026-09-04T01:49:38Z,23627,45.5,397.2,0,0
2026-09-04T01:49:49Z,23627,45.5,397.3,0,0
